dept_title,oca_title,org_cost_acct,appropriation_amt,cur_doc_no,cur_doc_no_sfx,obj_lvl_3,obj_lvl_3_title,ESRI_OID
City Manager,Office of Community Engagement,024100,"179,558.00",BU740002,93,1100,Bi-weekly wages,205
City Manager,Office of Community Engagement,024100,"1,920.00",BU740002,94,1101,Longevity,206
City Manager,Office of Community Engagement,024100,"1,500.00",BU740002,95,1190,Accrual,207
City Manager,Office of Community Engagement,024100,"84,142.00",BU740002,96,1199,Other,208
City Manager,Office of Community Engagement,024100,500.00,BU740002,97,1205,Auto allowance,209
City Manager,Office of Community Engagement,024100,"1,800.00",BU740002,98,1208,Cellular phone allowance,210
City Manager,Office of Community Engagement,024100,"16,649.00",BU740002,99,1400,FICA,211
City Manager,Office of Community Engagement,024100,"26,769.00",BU740002,100,1401,Employee pension,212
City Manager,Office of Community Engagement,024100,240.00,BU740032,49,2203,Long distance service,213
City Manager,Office of Community Engagement,024100,120.00,BU740032,50,2207,Postage - regular,214
City Manager,Office of Community Engagement,024100,420.00,BU740032,51,2214,Air cards - mobile,215
City Manager,Office of Community Engagement,024100,924.00,BU740032,52,2216,Voice mail,216
City Manager,Office of Community Engagement,024100,"2,500.00",BU740032,53,2301,Meals and lodging allowance,217
City Manager,Office of Community Engagement,024100,310.00,BU740032,54,2599,Other professional services,218
City Manager,Office of Community Engagement,024100,"3,685.00",BU740032,55,2600,Data center charges,219
City Manager,Office of Community Engagement,024100,135.00,BU740032,56,2906,Membership dues,220
City Manager,Office of Community Engagement,024100,"2,040.00",BU740032,57,2917,Printing and copying,221
City Manager,Office of Community Engagement,024100,600.00,BU740032,58,3103,Office supplies,222
City Manager,Office of Community Engagement,024100,"3,000.00",BU740032,59,3804,"Data processing equipment  < $5,000 each",223
City Manager,Office of Community Engagement,024100,"1,381.00",BU740032,41,1403,Workers compensation,224
City Manager,Office of Community Engagement,024100,435.00,BU740032,42,1404,Unemployment compensation,225
City Manager,Office of Community Engagement,024100,"47,206.00",BU740032,43,1405,Group health insurance,226
City Manager,Office of Community Engagement,024100,718.00,BU740032,44,1406,Group life insurance,227
City Manager,Office of Community Engagement,024100,"22,070.00",BU740032,45,1499,Employee benefits in aggregate,228
City Manager,Office of Community Engagement,024100,"7,800.00",BU740032,46,2100,Electricity,229
City Manager,Office of Community Engagement,024100,"2,964.00",BU740032,47,2200,PBX - line charges,230
City Manager,Office of Community Engagement,024100,"3,555.00",BU740032,48,2201,PBX - instrument charges,231
City Manager,Economic Development,028001,"115,542.00",BU740032,60,1100,Bi-weekly wages,232
City Manager,Economic Development,028001,216.00,BU740032,61,1101,Longevity,233
City Manager,Economic Development,028001,"1,200.00",BU740032,62,1190,Accrual,234
City Manager,Economic Development,028001,"8,855.00",BU740032,63,1400,FICA,235
City Manager,Economic Development,028001,"14,238.00",BU740032,64,1401,Employee pension,236
City Manager,Economic Development,028001,729.00,BU740032,65,1403,Workers compensation,237
City Manager,Economic Development,028001,232.00,BU740032,66,1404,Unemployment compensation,238
City Manager,Economic Development,028001,"30,959.00",BU740032,67,1405,Group health insurance,239
City Manager,Economic Development,028001,462.00,BU740032,68,1406,Group life insurance,240
City Manager,Economic Development,028001,570.00,BU740032,69,2200,PBX - line charges,241
City Manager,Economic Development,028001,975.00,BU740032,70,2201,PBX - instrument charges,242
City Manager,Economic Development,028001,240.00,BU740032,71,2203,Long distance service,243
City Manager,Economic Development,028001,"6,000.00",BU740032,72,2207,Postage - regular,244
City Manager,Economic Development,028001,252.00,BU740032,73,2216,Voice mail,245
City Manager,Economic Development,028001,"8,270.00",BU740032,74,2301,Meals and lodging allowance,246
City Manager,Economic Development,028001,"3,060.00",BU740032,75,2302,Out of town registration fees,247
City Manager,Economic Development,028001,400.00,BU740032,76,2303,In town registration fees,248
City Manager,Economic Development,028001,"18,000.00",BU740085,85,9845,CID/EDX/Proj Down Town - Application Fee,249
City Manager,Economic Development,028001,"260,000.00",BU740085,86,9900,IRB administration,250
City Manager,Economic Development,028001,"36,000.00",BU740085,87,9963,Economic Development,251
City Manager,Economic Development,028001,"115,000.00",BU740032,77,2503,Studies/Consultants,252
City Manager,Economic Development,028001,"5,000.00",BU740033,39,3999,Other commodities,253
City Manager,Economic Development,028001,"2,350,000.00",BU740069,96,5333,Miscellaneous and sundry,254
City Manager,Economic Development,028001,"125,000.00",BU740032,78,2505,Contractors,255
City Manager,Economic Development,028001,"1,500.00",BU740032,79,2507,Audits,256
City Manager,Economic Development,028001,"16,371.00",BU740032,80,2600,Data center charges,257
City Manager,Economic Development,028001,500.00,BU740032,81,2701,Motor pool-unscheduled charges,258
City Manager,Economic Development,028001,"97,522.00",BU740032,82,2900,City administrative charges,259
City Manager,Economic Development,028001,"7,000.00",BU740032,83,2902,Advertising,260
City Manager,Economic Development,028001,350.00,BU740032,84,2905,Periodicals/Subscriptions,261
City Manager,Economic Development,028001,"2,890.00",BU740032,85,2906,Membership dues,262
City Manager,Economic Development,028001,30.00,BU740032,86,2916,Property taxes ,263
City Manager,Economic Development,028001,"3,800.00",BU740032,87,2917,Printing and copying,264
City Manager,Economic Development,028001,"1,200.00",BU740032,88,3103,Office supplies,265
City Manager,Economic Development,028001,"2,500.00",BU740032,89,3903,Food supplies,266
City Manager,Economic Development,028001,"185,000.00",BU740001,1,9800,Interfund transfers,267
City Manager,Economic Development,028001,"223,242.00",BU740059,79,5101,Reimbursements-interfund & interdepart,268
City Manager,Eco. Devo. Marketing,028004,"5,000.00",BU740069,97,2301,Meals and lodging allowance,269
City Manager,Eco. Devo. Marketing,028004,"5,000.00",BU740069,98,2302,Out of town registration fees,270
City Manager,Eco. Devo. Marketing,028004,"40,000.00",BU740069,99,2308,Transportation - out of town,271
City Manager,Prop Mgmt - Operations,028006,"177,447.00",BU740069,100,1100,Bi-weekly wages,272
City Manager,Prop Mgmt - Operations,028006,"1,980.00",BU740070,1,1101,Longevity,273
City Manager,Prop Mgmt - Operations,028006,"1,400.00",BU740070,2,1190,Accrual,274
City Manager,Prop Mgmt - Operations,028006,"-88,723.00",BU740070,3,1199,Other,275
City Manager,Prop Mgmt - Operations,028006,"6,939.00",BU740070,4,1400,FICA,276
City Manager,Prop Mgmt - Operations,028006,"11,157.00",BU740070,5,1401,Employee pension,277
City Manager,Prop Mgmt - Operations,028006,547.00,BU740070,6,1403,Workers compensation,278
City Manager,Prop Mgmt - Operations,028006,181.00,BU740070,7,1404,Unemployment compensation,279
City Manager,Prop Mgmt - Operations,028006,"32,494.00",BU740070,8,1405,Group health insurance,280
City Manager,Prop Mgmt - Operations,028006,710.00,BU740070,9,1406,Group life insurance,281
City Manager,Prop Mgmt - Operations,028006,"13,950.00",BU740070,10,2100,Electricity,282
City Manager,Prop Mgmt - Operations,028006,"3,800.00",BU740070,11,2101,Gas-ONEOK Kansas Gas Service,283
City Manager,Prop Mgmt - Operations,028006,"12,200.00",BU740070,12,2104,Water,284
City Manager,Prop Mgmt - Operations,028006,"110,000.00",BU740085,91,9610,Parking,285
City Manager,Prop Mgmt - Operations,028006,"35,000.00",BU740085,88,9054,Surface lots - non metered,286
City Manager,Prop Mgmt - Operations,028006,"150,000.00",BU740085,89,9248,Fee - Sale of Land Property,287
City Manager,Prop Mgmt - Operations,028006,"100,000.00",BU740085,90,9250,Sale of property-Land,288
City Manager,Prop Mgmt - Operations,028006,456.00,BU740070,14,2200,PBX - line charges,289
City Manager,Prop Mgmt - Operations,028006,750.00,BU740070,15,2201,PBX - instrument charges,290
City Manager,Prop Mgmt - Operations,028006,150.00,BU740070,16,2203,Long distance service,291
City Manager,Prop Mgmt - Operations,028006,"1,500.00",BU740070,17,2207,Postage - regular,292
City Manager,Prop Mgmt - Operations,028006,"1,116.00",BU740070,18,2215,Plexar,293
City Manager,Prop Mgmt - Operations,028006,252.00,BU740070,19,2216,Voice mail,294
City Manager,Prop Mgmt - Operations,028006,500.00,BU740070,20,2301,Meals and lodging allowance,295
City Manager,Prop Mgmt - Operations,028006,500.00,BU740070,21,2302,Out of town registration fees,296
City Manager,Prop Mgmt - Operations,028006,500.00,BU740070,22,2308,Transportation - out of town,297
City Manager,Prop Mgmt - Operations,028006,"15,433.00",BU740070,23,2400,Building and contents insurance,298
City Manager,Prop Mgmt - Operations,028006,150.00,BU740070,24,2500,Certification fees,299
City Manager,Prop Mgmt - Operations,028006,"9,000.00",BU740070,25,2505,Contractors,300
City Manager,Prop Mgmt - Operations,028006,"10,000.00",BU740070,26,2509,Appraisal/inspection,301
City Manager,Prop Mgmt - Operations,028006,"5,000.00",BU740070,27,2510,Survey,302
City Manager,Prop Mgmt - Operations,028006,"3,000.00",BU740070,28,2543,Bank charges,303
City Manager,Prop Mgmt - Operations,028006,"45,000.00",BU740070,29,2599,Other professional services,304
City Manager,Prop Mgmt - Operations,028006,"2,414.00",BU740070,30,2600,Data center charges,305
City Manager,Prop Mgmt - Operations,028006,100.00,BU740070,31,2701,Motor pool-unscheduled charges,306
City Manager,Prop Mgmt - Operations,028006,121.00,BU740070,32,2801,Lease/Rent-Buildings or grounds,307
City Manager,Prop Mgmt - Operations,028006,"22,000.00",BU740070,33,2802,Maintenance - grounds,308
City Manager,Prop Mgmt - Operations,028006,"25,000.00",BU740070,34,2803,Maintenance - buildings,309
City Manager,Prop Mgmt - Operations,028006,360.00,BU740070,35,2804,Pest control services,310
City Manager,Prop Mgmt - Operations,028006,"2,500.00",BU740070,36,2902,Advertising,311
City Manager,Prop Mgmt - Operations,028006,"150,000.00",BU740070,37,2916,Property taxes ,312
City Manager,Prop Mgmt - Operations,028006,750.00,BU740070,38,3103,Office supplies,313
City Manager,Prop Mgmt - Operations,028006,"10,000.00",BU740070,39,3700,Building parts and materials,314
City Manager,Prop Mgmt - Operations,028006,"3,000.00",BU740070,40,3999,Other commodities,315
City Manager,Prop Mgmt - Operations,028006,950.00,BU740070,13,2107,Trash service,316
City Manager,Prop Mgmt - Operations,028006,"145,000.00",BU740085,92,9664,Rent - City owned bldg office,317
City Manager,Prop Mgmt - Operations,028006,"3,000.00",BU740085,93,9665,Rent - City owned bldg parking,318
City Manager,Prop Mgmt - Operations,028006,"86,850.00",BU740085,94,9669,Rent - Other Bldg and Parking rent/lease,319
City Manager,Prop Mgmt - Operations,028006,"30,000.00",BU740085,95,9838,Property Mgmt Fee - Leasing Property,320
City Manager,Administrative Services,028101,"68,000.00",BU740085,96,9811,Reimbursements,321
