OBJECTID,fund,fund_title,cur_doc_no,cur_doc_no_sfx,dept,dept_title,obj_lvl_1,obj_lvl_1_title,obj_lvl_2,obj_lvl_2_title,obj_lvl_3,obj_lvl_3_title,org_cost_acct,oca_title,appropriation_amt,account_type,fiscal_year
1024,600,Information Technology Fund,BU740048,98,6,Information Tech/Info Services,3,Materials and Supplies,310,Office Supplies,3101,Computer/printer supplies,60002,It/Is Gis,200,Expense,2017
1025,600,Information Technology Fund,BU740048,99,6,Information Tech/Info Services,3,Materials and Supplies,310,Office Supplies,3103,Office supplies,60002,It/Is Gis,500,Expense,2017
1026,600,Information Technology Fund,BU740048,100,6,Information Tech/Info Services,3,Materials and Supplies,380,Non-Capitalizable Equipment < $5000 Each,3804,"Data processing equipment  < $5,000 each",60002,It/Is Gis,500,Expense,2017
1027,600,Information Technology Fund,BU740049,1,6,Information Tech/Info Services,1,Personnel Services,110,Regular Salaries,1100,Bi-weekly wages,60003,IT/IS Service Desk,595504,Expense,2017
1028,600,Information Technology Fund,BU740049,2,6,Information Tech/Info Services,1,Personnel Services,110,Regular Salaries,1101,Longevity,60003,IT/IS Service Desk,4656,Expense,2017
1029,600,Information Technology Fund,BU740049,3,6,Information Tech/Info Services,1,Personnel Services,110,Regular Salaries,1190,Accrual,60003,IT/IS Service Desk,2002,Expense,2017
1030,600,Information Technology Fund,BU740049,4,6,Information Tech/Info Services,1,Personnel Services,120,Special Salaries,1200,Part time/seasonal,60003,IT/IS Service Desk,57730,Expense,2017
1031,600,Information Technology Fund,BU740049,5,6,Information Tech/Info Services,1,Personnel Services,120,Special Salaries,1208,Cellular phone allowance,60003,IT/IS Service Desk,600,Expense,2017
1032,600,Information Technology Fund,BU740049,6,6,Information Tech/Info Services,1,Personnel Services,140,Employee Benefits,1400,FICA,60003,IT/IS Service Desk,50329,Expense,2017
1033,600,Information Technology Fund,BU740049,7,6,Information Tech/Info Services,1,Personnel Services,140,Employee Benefits,1401,Employee pension,60003,IT/IS Service Desk,73820,Expense,2017
1035,600,Information Technology Fund,BU740049,9,6,Information Tech/Info Services,1,Personnel Services,140,Employee Benefits,1404,Unemployment compensation,60003,IT/IS Service Desk,1316,Expense,2017
1036,600,Information Technology Fund,BU740049,10,6,Information Tech/Info Services,1,Personnel Services,140,Employee Benefits,1405,Group health insurance,60003,IT/IS Service Desk,124587,Expense,2017
1037,600,Information Technology Fund,BU740049,11,6,Information Tech/Info Services,1,Personnel Services,140,Employee Benefits,1406,Group life insurance,60003,IT/IS Service Desk,2382,Expense,2017
1038,600,Information Technology Fund,BU740049,12,6,Information Tech/Info Services,1,Personnel Services,150,Other Personnel Services,1500,Planned savings,60003,IT/IS Service Desk,-94252,Expense,2017
1039,600,Information Technology Fund,BU740049,13,6,Information Tech/Info Services,2,Contractual Services,220,Communications,2207,Postage - regular,60003,IT/IS Service Desk,12,Expense,2017
1040,600,Information Technology Fund,BU740049,14,6,Information Tech/Info Services,2,Contractual Services,220,Communications,2211,Express mail,60003,IT/IS Service Desk,48,Expense,2017
1041,600,Information Technology Fund,BU740049,15,6,Information Tech/Info Services,2,Contractual Services,230,Transportation and Training,2301,Meals and lodging allowance,60003,IT/IS Service Desk,500,Expense,2017
1042,600,Information Technology Fund,BU740049,16,6,Information Tech/Info Services,2,Contractual Services,230,Transportation and Training,2302,Out of town registration fees,60003,IT/IS Service Desk,1000,Expense,2017
1043,600,Information Technology Fund,BU740049,17,6,Information Tech/Info Services,2,Contractual Services,230,Transportation and Training,2303,In town registration fees,60003,IT/IS Service Desk,5000,Expense,2017
1044,600,Information Technology Fund,BU740049,18,6,Information Tech/Info Services,2,Contractual Services,230,Transportation and Training,2308,Transportation - out of town,60003,IT/IS Service Desk,500,Expense,2017
1045,600,Information Technology Fund,BU740049,19,6,Information Tech/Info Services,2,Contractual Services,250,Professional Services,2599,Other professional services,60003,IT/IS Service Desk,350,Expense,2017
1046,600,Information Technology Fund,BU740049,20,6,Information Tech/Info Services,2,Contractual Services,260,Data Processing,2601,Maintenance - data equipment,60003,IT/IS Service Desk,28247,Expense,2017
1047,600,Information Technology Fund,BU740049,21,6,Information Tech/Info Services,2,Contractual Services,270,Equipment Charges,2701,Motor pool-unscheduled charges,60003,IT/IS Service Desk,4100,Expense,2017
1048,600,Information Technology Fund,BU740049,22,6,Information Tech/Info Services,2,Contractual Services,290,Other Contractuals,2906,Membership dues,60003,IT/IS Service Desk,340,Expense,2017
1049,600,Information Technology Fund,BU740049,23,6,Information Tech/Info Services,2,Contractual Services,290,Other Contractuals,2917,Printing and copying,60003,IT/IS Service Desk,950,Expense,2017
1050,600,Information Technology Fund,BU740049,24,6,Information Tech/Info Services,2,Contractual Services,290,Other Contractuals,2922,Shredding and recycling,60003,IT/IS Service Desk,4000,Expense,2017
1051,600,Information Technology Fund,BU740049,25,6,Information Tech/Info Services,3,Materials and Supplies,310,Office Supplies,3101,Computer/printer supplies,60003,IT/IS Service Desk,1000,Expense,2017
1052,600,Information Technology Fund,BU740049,26,6,Information Tech/Info Services,3,Materials and Supplies,310,Office Supplies,3103,Office supplies,60003,IT/IS Service Desk,200,Expense,2017
1053,600,Information Technology Fund,BU740049,27,6,Information Tech/Info Services,3,Materials and Supplies,320,Clothing and Towels,3200,Clothing and towels,60003,IT/IS Service Desk,2300,Expense,2017
1056,600,Information Technology Fund,BU740049,30,6,Information Tech/Info Services,1,Personnel Services,110,Regular Salaries,1100,Bi-weekly wages,60004,IT/IS Network,790576,Expense,2017
1054,600,Information Technology Fund,BU740049,28,6,Information Tech/Info Services,3,Materials and Supplies,380,Non-Capitalizable Equipment < $5000 Each,3804,"Data processing equipment  < $5,000 each",60003,IT/IS Service Desk,2000,Expense,2017
1055,600,Information Technology Fund,BU740049,29,6,Information Tech/Info Services,3,Materials and Supplies,380,Non-Capitalizable Equipment < $5000 Each,3812,"Communication equipment < $5,000 each",60003,IT/IS Service Desk,150,Expense,2017
1057,600,Information Technology Fund,BU740049,31,6,Information Tech/Info Services,1,Personnel Services,110,Regular Salaries,1101,Longevity,60004,IT/IS Network,4740,Expense,2017
1058,540,Water Utility Fund,BU740049,32,18,Public Works & Utilities,2,Contractual Services,220,Communications,2216,Voice mail,183632,Prod & Pumping Administration,252,Expense,2017
1059,540,Water Utility Fund,BU740049,33,18,Public Works & Utilities,2,Contractual Services,230,Transportation and Training,2300,Auto tags and titles,183632,Prod & Pumping Administration,250,Expense,2017
1060,540,Water Utility Fund,BU740049,34,18,Public Works & Utilities,2,Contractual Services,250,Professional Services,2500,Certification fees,183632,Prod & Pumping Administration,13000,Expense,2017
1061,540,Water Utility Fund,BU740049,35,18,Public Works & Utilities,2,Contractual Services,250,Professional Services,2502,Medical and laboratory services,183632,Prod & Pumping Administration,100,Expense,2017
1062,540,Water Utility Fund,BU740049,36,18,Public Works & Utilities,2,Contractual Services,250,Professional Services,2504,Engineering,183632,Prod & Pumping Administration,110000,Expense,2017
1063,540,Water Utility Fund,BU740049,37,18,Public Works & Utilities,2,Contractual Services,250,Professional Services,2505,Contractors,183632,Prod & Pumping Administration,200000,Expense,2017
1064,540,Water Utility Fund,BU740049,38,18,Public Works & Utilities,2,Contractual Services,250,Professional Services,2509,Appraisal/inspection,183632,Prod & Pumping Administration,125,Expense,2017
1065,540,Water Utility Fund,BU740049,39,18,Public Works & Utilities,2,Contractual Services,250,Professional Services,2511,Architecture,183632,Prod & Pumping Administration,20000,Expense,2017
1066,540,Water Utility Fund,BU740049,40,18,Public Works & Utilities,2,Contractual Services,250,Professional Services,2599,Other professional services,183632,Prod & Pumping Administration,1200000,Expense,2017
1067,540,Water Utility Fund,BU740049,41,18,Public Works & Utilities,2,Contractual Services,260,Data Processing,2600,Data center charges,183632,Prod & Pumping Administration,56136,Expense,2017
1068,540,Water Utility Fund,BU740049,42,18,Public Works & Utilities,2,Contractual Services,260,Data Processing,2601,Maintenance - data equipment,183632,Prod & Pumping Administration,36000,Expense,2017
1069,540,Water Utility Fund,BU740049,43,18,Public Works & Utilities,2,Contractual Services,270,Equipment Charges,2700,Motor pool - scheduled charges,183632,Prod & Pumping Administration,117360,Expense,2017
1070,540,Water Utility Fund,BU740049,44,18,Public Works & Utilities,2,Contractual Services,270,Equipment Charges,2701,Motor pool-unscheduled charges,183632,Prod & Pumping Administration,850,Expense,2017
1071,540,Water Utility Fund,BU740049,45,18,Public Works & Utilities,2,Contractual Services,270,Equipment Charges,2703,Maintenance - equipment,183632,Prod & Pumping Administration,13500,Expense,2017
1072,540,Water Utility Fund,BU740049,46,18,Public Works & Utilities,2,Contractual Services,270,Equipment Charges,2705,Outside services,183632,Prod & Pumping Administration,3500,Expense,2017
1073,540,Water Utility Fund,BU740049,47,18,Public Works & Utilities,2,Contractual Services,290,Other Contractuals,2902,Advertising,183632,Prod & Pumping Administration,130,Expense,2017
1074,540,Water Utility Fund,BU740049,48,18,Public Works & Utilities,2,Contractual Services,290,Other Contractuals,2904,Codes and manuals,183632,Prod & Pumping Administration,400,Expense,2017
1075,540,Water Utility Fund,BU740049,49,18,Public Works & Utilities,2,Contractual Services,290,Other Contractuals,2906,Membership dues,183632,Prod & Pumping Administration,2000,Expense,2017
1076,540,Water Utility Fund,BU740049,50,18,Public Works & Utilities,2,Contractual Services,290,Other Contractuals,2916,Property taxes ,183632,Prod & Pumping Administration,45000,Expense,2017
1077,540,Water Utility Fund,BU740049,51,18,Public Works & Utilities,2,Contractual Services,290,Other Contractuals,2917,Printing and copying,183632,Prod & Pumping Administration,5000,Expense,2017
1078,540,Water Utility Fund,BU740049,52,18,Public Works & Utilities,2,Contractual Services,290,Other Contractuals,2922,Shredding and recycling,183632,Prod & Pumping Administration,110,Expense,2017
1079,540,Water Utility Fund,BU740049,53,18,Public Works & Utilities,2,Contractual Services,290,Other Contractuals,2999,Other contractuals,183632,Prod & Pumping Administration,12000,Expense,2017
1080,540,Water Utility Fund,BU740049,54,18,Public Works & Utilities,3,Materials and Supplies,310,Office Supplies,3101,Computer/printer supplies,183632,Prod & Pumping Administration,4400,Expense,2017
1081,540,Water Utility Fund,BU740049,55,18,Public Works & Utilities,3,Materials and Supplies,310,Office Supplies,3103,Office supplies,183632,Prod & Pumping Administration,5300,Expense,2017
1082,540,Water Utility Fund,BU740049,56,18,Public Works & Utilities,3,Materials and Supplies,320,Clothing and Towels,3200,Clothing and towels,183632,Prod & Pumping Administration,2200,Expense,2017
1083,540,Water Utility Fund,BU740049,57,18,Public Works & Utilities,3,Materials and Supplies,340,Equipment Parts,3400,Equipment parts and supplies,183632,Prod & Pumping Administration,600,Expense,2017
1084,540,Water Utility Fund,BU740049,58,18,Public Works & Utilities,3,Materials and Supplies,340,Equipment Parts,3404,Computer/Printer,183632,Prod & Pumping Administration,500,Expense,2017
1085,540,Water Utility Fund,BU740049,59,18,Public Works & Utilities,3,Materials and Supplies,340,Equipment Parts,3405,Fuel,183632,Prod & Pumping Administration,37224,Expense,2017
1086,540,Water Utility Fund,BU740049,60,18,Public Works & Utilities,3,Materials and Supplies,340,Equipment Parts,3499,Other equipment parts,183632,Prod & Pumping Administration,18100,Expense,2017
1087,540,Water Utility Fund,BU740049,61,18,Public Works & Utilities,3,Materials and Supplies,380,Non-Capitalizable Equipment < $5000 Each,3804,"Data processing equipment  < $5,000 each",183632,Prod & Pumping Administration,5400,Expense,2017
1088,540,Water Utility Fund,BU740049,62,18,Public Works & Utilities,3,Materials and Supplies,380,Non-Capitalizable Equipment < $5000 Each,3815,"Safety equipment < $5,000 each",183632,Prod & Pumping Administration,550,Expense,2017
1089,540,Water Utility Fund,BU740049,63,18,Public Works & Utilities,3,Materials and Supplies,380,Non-Capitalizable Equipment < $5000 Each,3899,"Other non-capitalized equip <$5,000 each",183632,Prod & Pumping Administration,2500,Expense,2017
1090,540,Water Utility Fund,BU740049,64,18,Public Works & Utilities,3,Materials and Supplies,390,Other Commodities,3903,Food supplies,183632,Prod & Pumping Administration,300,Expense,2017
1091,540,Water Utility Fund,BU740049,65,18,Public Works & Utilities,3,Materials and Supplies,390,Other Commodities,3904,Petty cash expenditures,183632,Prod & Pumping Administration,150,Expense,2017
1092,540,Water Utility Fund,BU740049,66,18,Public Works & Utilities,4,Capital Outlay,450,"Vehicular Equipment => $10,000",4502,"Trucks => $10,000",183632,Prod & Pumping Administration,40000,Expense,2017
1094,540,Water Utility Fund,BU740049,68,18,Public Works & Utilities,5,Other Expenditures,540,Inventory,5401,Inventory (clearing account),183632,Prod & Pumping Administration,50000,Expense,2017
1095,530,Sewer Utility Fund,BU740049,69,18,Public Works & Utilities,1,Personnel Services,110,Regular Salaries,1180,Reimb Water/Sewer by Sewer/SWU,184002,Sewer Administration,2155056,Expense,2017
1093,540,Water Utility Fund,BU740049,67,18,Public Works & Utilities,4,Capital Outlay,460,"Operating Equipment => $5,000",4609,"Water & sewage treatment equip => $5,000",183632,Prod & Pumping Administration,185000,Expense,2017
1096,530,Sewer Utility Fund,BU740049,70,18,Public Works & Utilities,1,Personnel Services,110,Regular Salaries,1199,Other,184002,Sewer Administration,101290,Expense,2017
1097,530,Sewer Utility Fund,BU740049,71,18,Public Works & Utilities,1,Personnel Services,140,Employee Benefits,1499,Employee benefits in aggregate,184002,Sewer Administration,32782,Expense,2017
1098,530,Sewer Utility Fund,BU740049,72,18,Public Works & Utilities,2,Contractual Services,240,Insurance,2400,Building and contents insurance,184002,Sewer Administration,158189,Expense,2017
1099,530,Sewer Utility Fund,BU740049,73,18,Public Works & Utilities,2,Contractual Services,240,Insurance,2401,Vehicle liability,184002,Sewer Administration,24710,Expense,2017
1100,530,Sewer Utility Fund,BU740049,74,18,Public Works & Utilities,2,Contractual Services,250,Professional Services,2503,Studies/Consultants,184002,Sewer Administration,100000,Expense,2017
1101,530,Sewer Utility Fund,BU740049,75,18,Public Works & Utilities,2,Contractual Services,250,Professional Services,2505,Contractors,184002,Sewer Administration,25000,Expense,2017
1102,530,Sewer Utility Fund,BU740049,76,18,Public Works & Utilities,2,Contractual Services,250,Professional Services,2506,Legal services,184002,Sewer Administration,27500,Expense,2017
1103,530,Sewer Utility Fund,BU740049,77,18,Public Works & Utilities,2,Contractual Services,250,Professional Services,2507,Audits,184002,Sewer Administration,13500,Expense,2017
1104,530,Sewer Utility Fund,BU740049,78,18,Public Works & Utilities,2,Contractual Services,260,Data Processing,2600,Data center charges,184002,Sewer Administration,341205,Expense,2017
1105,530,Sewer Utility Fund,BU740049,79,18,Public Works & Utilities,2,Contractual Services,280,Buildings and Grounds Charges,2801,Lease/Rent-Buildings or grounds,184002,Sewer Administration,48950,Expense,2017
1106,530,Sewer Utility Fund,BU740049,80,18,Public Works & Utilities,2,Contractual Services,290,Other Contractuals,2900,City administrative charges,184002,Sewer Administration,305416,Expense,2017
1107,540,Water Utility Fund,BU740049,81,18,Public Works & Utilities,3,Materials and Supplies,380,Non-Capitalizable Equipment < $5000 Each,3800,"Non-capital shop equipment < $5,000 each",183012,System Planning,2700,Expense,2017
1108,540,Water Utility Fund,BU740049,82,18,Public Works & Utilities,3,Materials and Supplies,380,Non-Capitalizable Equipment < $5000 Each,3804,"Data processing equipment  < $5,000 each",183012,System Planning,160,Expense,2017
1109,540,Water Utility Fund,BU740049,83,18,Public Works & Utilities,2,Contractual Services,250,Professional Services,2503,Studies/Consultants,183020,"Expensed Water Cip Projects < 25,000",60000,Expense,2017
1110,540,Water Utility Fund,BU740049,84,18,Public Works & Utilities,2,Contractual Services,250,Professional Services,2505,Contractors,183020,"Expensed Water Cip Projects < 25,000",25000,Expense,2017
1111,540,Water Utility Fund,BU740049,85,18,Public Works & Utilities,2,Contractual Services,290,Other Contractuals,2902,Advertising,183020,"Expensed Water Cip Projects < 25,000",300,Expense,2017
1112,540,Water Utility Fund,BU740049,86,18,Public Works & Utilities,3,Materials and Supplies,340,Equipment Parts,3418,Water Distrib System parts,183020,"Expensed Water Cip Projects < 25,000",5000,Expense,2017
1136,540,Water Utility Fund,BU740050,10,18,Public Works & Utilities,2,Contractual Services,230,Transportation and Training,2303,In town registration fees,183022,Utility Operations,750,Expense,2017
1137,540,Water Utility Fund,BU740050,11,18,Public Works & Utilities,2,Contractual Services,230,Transportation and Training,2308,Transportation - out of town,183022,Utility Operations,1000,Expense,2017
1138,540,Water Utility Fund,BU740050,12,18,Public Works & Utilities,2,Contractual Services,250,Professional Services,2519,Background checks,183022,Utility Operations,150,Expense,2017
1113,540,Water Utility Fund,BU740049,87,18,Public Works & Utilities,5,Other Expenditures,530,Other Non-Operating Expenditures,5308,Engineering overhead,183020,"Expensed Water Cip Projects < 25,000",22012,Expense,2017
1114,540,Water Utility Fund,BU740049,88,18,Public Works & Utilities,1,Personnel Services,110,Regular Salaries,1100,Bi-weekly wages,183022,Utility Operations,832814,Expense,2017
1115,540,Water Utility Fund,BU740049,89,18,Public Works & Utilities,1,Personnel Services,110,Regular Salaries,1101,Longevity,183022,Utility Operations,14760,Expense,2017
1116,540,Water Utility Fund,BU740049,90,18,Public Works & Utilities,1,Personnel Services,110,Regular Salaries,1180,Reimb Water/Sewer by Sewer/SWU,183022,Utility Operations,-416407,Expense,2017
1117,540,Water Utility Fund,BU740049,91,18,Public Works & Utilities,1,Personnel Services,110,Regular Salaries,1190,Accrual,183022,Utility Operations,5124,Expense,2017
1118,540,Water Utility Fund,BU740049,92,18,Public Works & Utilities,1,Personnel Services,110,Regular Salaries,1199,Other,183022,Utility Operations,40008,Expense,2017
1119,540,Water Utility Fund,BU740049,93,18,Public Works & Utilities,1,Personnel Services,140,Employee Benefits,1400,FICA,183022,Utility Operations,64839,Expense,2017
1120,540,Water Utility Fund,BU740049,94,18,Public Works & Utilities,1,Personnel Services,140,Employee Benefits,1401,Employee pension,183022,Utility Operations,104252,Expense,2017
1121,540,Water Utility Fund,BU740049,95,18,Public Works & Utilities,1,Personnel Services,140,Employee Benefits,1403,Workers compensation,183022,Utility Operations,26275,Expense,2017
1122,540,Water Utility Fund,BU740049,96,18,Public Works & Utilities,1,Personnel Services,140,Employee Benefits,1404,Unemployment compensation,183022,Utility Operations,1695,Expense,2017
1123,540,Water Utility Fund,BU740049,97,18,Public Works & Utilities,1,Personnel Services,140,Employee Benefits,1405,Group health insurance,183022,Utility Operations,184538,Expense,2017
1124,540,Water Utility Fund,BU740049,98,18,Public Works & Utilities,1,Personnel Services,140,Employee Benefits,1406,Group life insurance,183022,Utility Operations,3331,Expense,2017
1125,540,Water Utility Fund,BU740049,99,18,Public Works & Utilities,1,Personnel Services,140,Employee Benefits,1499,Employee benefits in aggregate,183022,Utility Operations,10529,Expense,2017
1126,540,Water Utility Fund,BU740049,100,18,Public Works & Utilities,2,Contractual Services,220,Communications,2200,PBX - line charges,183022,Utility Operations,8364,Expense,2017
1127,540,Water Utility Fund,BU740050,1,18,Public Works & Utilities,2,Contractual Services,220,Communications,2201,PBX - instrument charges,183022,Utility Operations,5760,Expense,2017
1128,540,Water Utility Fund,BU740050,2,18,Public Works & Utilities,2,Contractual Services,220,Communications,2203,Long distance service,183022,Utility Operations,450,Expense,2017
1129,540,Water Utility Fund,BU740050,3,18,Public Works & Utilities,2,Contractual Services,220,Communications,2207,Postage - regular,183022,Utility Operations,1000000,Expense,2017
1130,540,Water Utility Fund,BU740050,4,18,Public Works & Utilities,2,Contractual Services,220,Communications,2214,Air cards - mobile,183022,Utility Operations,420,Expense,2017
1131,540,Water Utility Fund,BU740050,5,18,Public Works & Utilities,2,Contractual Services,220,Communications,2215,Plexar,183022,Utility Operations,744,Expense,2017
1132,540,Water Utility Fund,BU740050,6,18,Public Works & Utilities,2,Contractual Services,220,Communications,2216,Voice mail,183022,Utility Operations,336,Expense,2017
1133,540,Water Utility Fund,BU740050,7,18,Public Works & Utilities,2,Contractual Services,220,Communications,2218,Automatic Call Distribution,183022,Utility Operations,1071,Expense,2017
1134,540,Water Utility Fund,BU740050,8,18,Public Works & Utilities,2,Contractual Services,230,Transportation and Training,2301,Meals and lodging allowance,183022,Utility Operations,3500,Expense,2017
1135,540,Water Utility Fund,BU740050,9,18,Public Works & Utilities,2,Contractual Services,230,Transportation and Training,2302,Out of town registration fees,183022,Utility Operations,2500,Expense,2017
1139,540,Water Utility Fund,BU740050,13,18,Public Works & Utilities,2,Contractual Services,250,Professional Services,2543,Bank charges,183022,Utility Operations,25000,Expense,2017
1140,540,Water Utility Fund,BU740050,14,18,Public Works & Utilities,2,Contractual Services,250,Professional Services,2599,Other professional services,183022,Utility Operations,27000,Expense,2017
1141,540,Water Utility Fund,BU740050,15,18,Public Works & Utilities,2,Contractual Services,260,Data Processing,2600,Data center charges,183022,Utility Operations,958988,Expense,2017
1142,540,Water Utility Fund,BU740050,16,18,Public Works & Utilities,2,Contractual Services,260,Data Processing,2699,Other data processing charges,183022,Utility Operations,6000,Expense,2017
1143,540,Water Utility Fund,BU740050,17,18,Public Works & Utilities,2,Contractual Services,270,Equipment Charges,2701,Motor pool-unscheduled charges,183022,Utility Operations,10,Expense,2017
1144,540,Water Utility Fund,BU740050,18,18,Public Works & Utilities,2,Contractual Services,290,Other Contractuals,2902,Advertising,183022,Utility Operations,200,Expense,2017
1145,540,Water Utility Fund,BU740050,19,18,Public Works & Utilities,2,Contractual Services,290,Other Contractuals,2903,Directories,183022,Utility Operations,700,Expense,2017
1146,540,Water Utility Fund,BU740050,20,18,Public Works & Utilities,2,Contractual Services,290,Other Contractuals,2906,Membership dues,183022,Utility Operations,400,Expense,2017
1147,540,Water Utility Fund,BU740050,21,18,Public Works & Utilities,2,Contractual Services,290,Other Contractuals,2917,Printing and copying,183022,Utility Operations,15200,Expense,2017
1148,540,Water Utility Fund,BU740050,22,18,Public Works & Utilities,2,Contractual Services,290,Other Contractuals,2980,Reimb Water/Sewer by Sewer/SWU,183022,Utility Operations,-762163,Expense,2017
1149,540,Water Utility Fund,BU740050,23,18,Public Works & Utilities,2,Contractual Services,290,Other Contractuals,2999,Other contractuals,183022,Utility Operations,225000,Expense,2017
1150,540,Water Utility Fund,BU740050,24,18,Public Works & Utilities,3,Materials and Supplies,310,Office Supplies,3101,Computer/printer supplies,183022,Utility Operations,750,Expense,2017
1151,540,Water Utility Fund,BU740050,25,18,Public Works & Utilities,3,Materials and Supplies,310,Office Supplies,3103,Office supplies,183022,Utility Operations,3500,Expense,2017
1152,540,Water Utility Fund,BU740050,26,18,Public Works & Utilities,3,Materials and Supplies,310,Office Supplies,3199,Other office supplies,183022,Utility Operations,850,Expense,2017
1153,540,Water Utility Fund,BU740050,27,18,Public Works & Utilities,3,Materials and Supplies,380,Non-Capitalizable Equipment < $5000 Each,3804,"Data processing equipment  < $5,000 each",183022,Utility Operations,2500,Expense,2017
1154,540,Water Utility Fund,BU740050,28,18,Public Works & Utilities,3,Materials and Supplies,390,Other Commodities,3904,Petty cash expenditures,183022,Utility Operations,125,Expense,2017
1155,540,Water Utility Fund,BU740050,29,18,Public Works & Utilities,3,Materials and Supplies,390,Other Commodities,3980,Reimb Water/Sewer by Sewer/SWU,183022,Utility Operations,-3090,Expense,2017
1156,530,Sewer Utility Fund,BU740050,30,18,Public Works & Utilities,3,Materials and Supplies,310,Office Supplies,3103,Office supplies,184754,Sewage Treatment Administration,10200,Expense,2017
1157,530,Sewer Utility Fund,BU740050,31,18,Public Works & Utilities,3,Materials and Supplies,320,Clothing and Towels,3200,Clothing and towels,184754,Sewage Treatment Administration,8400,Expense,2017
1158,530,Sewer Utility Fund,BU740050,32,18,Public Works & Utilities,3,Materials and Supplies,330,Chemicals,3301,Industrial chemicals,184754,Sewage Treatment Administration,1150000,Expense,2017
