OBJECTID,fund,fund_title,cur_doc_no,cur_doc_no_sfx,dept,dept_title,obj_lvl_1,obj_lvl_1_title,obj_lvl_2,obj_lvl_2_title,obj_lvl_3,obj_lvl_3_title,org_cost_acct,oca_title,appropriation_amt
1038,600,Information Technology Fund,BU740049,12,6,Information Tech/Info Services,1,Personnel services,150,Other personnel services,1500,Planned savings,60003,IT/IS Service Desk,-94252
1039,600,Information Technology Fund,BU740049,13,6,Information Tech/Info Services,2,Contractual services,220,Communications,2207,Postage - regular,60003,IT/IS Service Desk,12
1040,600,Information Technology Fund,BU740049,14,6,Information Tech/Info Services,2,Contractual services,220,Communications,2211,Express mail,60003,IT/IS Service Desk,48
1041,600,Information Technology Fund,BU740049,15,6,Information Tech/Info Services,2,Contractual services,230,Transportation and training,2301,Meals and lodging allowance,60003,IT/IS Service Desk,500
1042,600,Information Technology Fund,BU740049,16,6,Information Tech/Info Services,2,Contractual services,230,Transportation and training,2302,Out of town registration fees,60003,IT/IS Service Desk,1000
1043,600,Information Technology Fund,BU740049,17,6,Information Tech/Info Services,2,Contractual services,230,Transportation and training,2303,In town registration fees,60003,IT/IS Service Desk,5000
1044,600,Information Technology Fund,BU740049,18,6,Information Tech/Info Services,2,Contractual services,230,Transportation and training,2308,Transportation - out of town,60003,IT/IS Service Desk,500
1045,600,Information Technology Fund,BU740049,19,6,Information Tech/Info Services,2,Contractual services,250,Professional services,2599,Other professional services,60003,IT/IS Service Desk,350
1046,600,Information Technology Fund,BU740049,20,6,Information Tech/Info Services,2,Contractual services,260,Data processing,2601,Maintenance - data equipment,60003,IT/IS Service Desk,28247
1047,600,Information Technology Fund,BU740049,21,6,Information Tech/Info Services,2,Contractual services,270,Equipment charges,2701,Motor pool-unscheduled charges,60003,IT/IS Service Desk,4100
1048,600,Information Technology Fund,BU740049,22,6,Information Tech/Info Services,2,Contractual services,290,Other contractuals,2906,Membership dues,60003,IT/IS Service Desk,340
1049,600,Information Technology Fund,BU740049,23,6,Information Tech/Info Services,2,Contractual services,290,Other contractuals,2917,Printing and copying,60003,IT/IS Service Desk,950
1050,600,Information Technology Fund,BU740049,24,6,Information Tech/Info Services,2,Contractual services,290,Other contractuals,2922,Shredding and recycling,60003,IT/IS Service Desk,4000
1051,600,Information Technology Fund,BU740049,25,6,Information Tech/Info Services,3,Materials and supplies,310,Office supplies,3101,Computer/printer supplies,60003,IT/IS Service Desk,1000
1052,600,Information Technology Fund,BU740049,26,6,Information Tech/Info Services,3,Materials and supplies,310,Office supplies,3103,Office supplies,60003,IT/IS Service Desk,200
1053,600,Information Technology Fund,BU740049,27,6,Information Tech/Info Services,3,Materials and supplies,320,Clothing and towels,3200,Clothing and towels,60003,IT/IS Service Desk,2300
1056,600,Information Technology Fund,BU740049,30,6,Information Tech/Info Services,1,Personnel services,110,Regular salaries,1100,Bi-weekly wages,60004,IT/IS Network,790576
1054,600,Information Technology Fund,BU740049,28,6,Information Tech/Info Services,3,Materials and supplies,380,Non-capitalizable equipment < $5000 each,3804,"Data processing equipment  < $5,000 each",60003,IT/IS Service Desk,2000
1055,600,Information Technology Fund,BU740049,29,6,Information Tech/Info Services,3,Materials and supplies,380,Non-capitalizable equipment < $5000 each,3812,"Communication equipment < $5,000 each",60003,IT/IS Service Desk,150
1057,600,Information Technology Fund,BU740049,31,6,Information Tech/Info Services,1,Personnel services,110,Regular salaries,1101,Longevity,60004,IT/IS Network,4740
1058,540,WATER UTILITY FUND,BU740049,32,18,Public Works & Utilities,2,Contractual services,220,Communications,2216,Voice mail,183632,PROD & PUMPING ADMINISTRATION,252
1059,540,WATER UTILITY FUND,BU740049,33,18,Public Works & Utilities,2,Contractual services,230,Transportation and training,2300,Auto tags and titles,183632,PROD & PUMPING ADMINISTRATION,250
1060,540,WATER UTILITY FUND,BU740049,34,18,Public Works & Utilities,2,Contractual services,250,Professional services,2500,Certification fees,183632,PROD & PUMPING ADMINISTRATION,13000
1061,540,WATER UTILITY FUND,BU740049,35,18,Public Works & Utilities,2,Contractual services,250,Professional services,2502,Medical and laboratory services,183632,PROD & PUMPING ADMINISTRATION,100
1062,540,WATER UTILITY FUND,BU740049,36,18,Public Works & Utilities,2,Contractual services,250,Professional services,2504,Engineering,183632,PROD & PUMPING ADMINISTRATION,110000
1063,540,WATER UTILITY FUND,BU740049,37,18,Public Works & Utilities,2,Contractual services,250,Professional services,2505,Contractors,183632,PROD & PUMPING ADMINISTRATION,200000
1064,540,WATER UTILITY FUND,BU740049,38,18,Public Works & Utilities,2,Contractual services,250,Professional services,2509,Appraisal/inspection,183632,PROD & PUMPING ADMINISTRATION,125
1065,540,WATER UTILITY FUND,BU740049,39,18,Public Works & Utilities,2,Contractual services,250,Professional services,2511,Architecture,183632,PROD & PUMPING ADMINISTRATION,20000
1066,540,WATER UTILITY FUND,BU740049,40,18,Public Works & Utilities,2,Contractual services,250,Professional services,2599,Other professional services,183632,PROD & PUMPING ADMINISTRATION,1200000
1067,540,WATER UTILITY FUND,BU740049,41,18,Public Works & Utilities,2,Contractual services,260,Data processing,2600,Data center charges,183632,PROD & PUMPING ADMINISTRATION,56136
1068,540,WATER UTILITY FUND,BU740049,42,18,Public Works & Utilities,2,Contractual services,260,Data processing,2601,Maintenance - data equipment,183632,PROD & PUMPING ADMINISTRATION,36000
1069,540,WATER UTILITY FUND,BU740049,43,18,Public Works & Utilities,2,Contractual services,270,Equipment charges,2700,Motor pool - scheduled charges,183632,PROD & PUMPING ADMINISTRATION,117360
1070,540,WATER UTILITY FUND,BU740049,44,18,Public Works & Utilities,2,Contractual services,270,Equipment charges,2701,Motor pool-unscheduled charges,183632,PROD & PUMPING ADMINISTRATION,850
1071,540,WATER UTILITY FUND,BU740049,45,18,Public Works & Utilities,2,Contractual services,270,Equipment charges,2703,Maintenance - equipment,183632,PROD & PUMPING ADMINISTRATION,13500
1072,540,WATER UTILITY FUND,BU740049,46,18,Public Works & Utilities,2,Contractual services,270,Equipment charges,2705,Outside services,183632,PROD & PUMPING ADMINISTRATION,3500
1073,540,WATER UTILITY FUND,BU740049,47,18,Public Works & Utilities,2,Contractual services,290,Other contractuals,2902,Advertising,183632,PROD & PUMPING ADMINISTRATION,130
1074,540,WATER UTILITY FUND,BU740049,48,18,Public Works & Utilities,2,Contractual services,290,Other contractuals,2904,Codes and manuals,183632,PROD & PUMPING ADMINISTRATION,400
1075,540,WATER UTILITY FUND,BU740049,49,18,Public Works & Utilities,2,Contractual services,290,Other contractuals,2906,Membership dues,183632,PROD & PUMPING ADMINISTRATION,2000
1076,540,WATER UTILITY FUND,BU740049,50,18,Public Works & Utilities,2,Contractual services,290,Other contractuals,2916,Property taxes ,183632,PROD & PUMPING ADMINISTRATION,45000
1077,540,WATER UTILITY FUND,BU740049,51,18,Public Works & Utilities,2,Contractual services,290,Other contractuals,2917,Printing and copying,183632,PROD & PUMPING ADMINISTRATION,5000
1078,540,WATER UTILITY FUND,BU740049,52,18,Public Works & Utilities,2,Contractual services,290,Other contractuals,2922,Shredding and recycling,183632,PROD & PUMPING ADMINISTRATION,110
1079,540,WATER UTILITY FUND,BU740049,53,18,Public Works & Utilities,2,Contractual services,290,Other contractuals,2999,Other contractuals,183632,PROD & PUMPING ADMINISTRATION,12000
1080,540,WATER UTILITY FUND,BU740049,54,18,Public Works & Utilities,3,Materials and supplies,310,Office supplies,3101,Computer/printer supplies,183632,PROD & PUMPING ADMINISTRATION,4400
1081,540,WATER UTILITY FUND,BU740049,55,18,Public Works & Utilities,3,Materials and supplies,310,Office supplies,3103,Office supplies,183632,PROD & PUMPING ADMINISTRATION,5300
1082,540,WATER UTILITY FUND,BU740049,56,18,Public Works & Utilities,3,Materials and supplies,320,Clothing and towels,3200,Clothing and towels,183632,PROD & PUMPING ADMINISTRATION,2200
1083,540,WATER UTILITY FUND,BU740049,57,18,Public Works & Utilities,3,Materials and supplies,340,Equipment parts,3400,Equipment parts and supplies,183632,PROD & PUMPING ADMINISTRATION,600
1084,540,WATER UTILITY FUND,BU740049,58,18,Public Works & Utilities,3,Materials and supplies,340,Equipment parts,3404,Computer/Printer,183632,PROD & PUMPING ADMINISTRATION,500
1085,540,WATER UTILITY FUND,BU740049,59,18,Public Works & Utilities,3,Materials and supplies,340,Equipment parts,3405,Fuel,183632,PROD & PUMPING ADMINISTRATION,37224
1086,540,WATER UTILITY FUND,BU740049,60,18,Public Works & Utilities,3,Materials and supplies,340,Equipment parts,3499,Other equipment parts,183632,PROD & PUMPING ADMINISTRATION,18100
1087,540,WATER UTILITY FUND,BU740049,61,18,Public Works & Utilities,3,Materials and supplies,380,Non-capitalizable equipment < $5000 each,3804,"Data processing equipment  < $5,000 each",183632,PROD & PUMPING ADMINISTRATION,5400
1088,540,WATER UTILITY FUND,BU740049,62,18,Public Works & Utilities,3,Materials and supplies,380,Non-capitalizable equipment < $5000 each,3815,"Safety equipment < $5,000 each",183632,PROD & PUMPING ADMINISTRATION,550
1089,540,WATER UTILITY FUND,BU740049,63,18,Public Works & Utilities,3,Materials and supplies,380,Non-capitalizable equipment < $5000 each,3899,"Other non-capitalized equip <$5,000 each",183632,PROD & PUMPING ADMINISTRATION,2500
1090,540,WATER UTILITY FUND,BU740049,64,18,Public Works & Utilities,3,Materials and supplies,390,Other commodities,3903,Food supplies,183632,PROD & PUMPING ADMINISTRATION,300
1091,540,WATER UTILITY FUND,BU740049,65,18,Public Works & Utilities,3,Materials and supplies,390,Other commodities,3904,Petty cash expenditures,183632,PROD & PUMPING ADMINISTRATION,150
1092,540,WATER UTILITY FUND,BU740049,66,18,Public Works & Utilities,4,Capital outlay,450,"Vehicular equipment => $10,000",4502,"Trucks => $10,000",183632,PROD & PUMPING ADMINISTRATION,40000
1094,540,WATER UTILITY FUND,BU740049,68,18,Public Works & Utilities,5,Other expenditures,540,Inventory,5401,Inventory (clearing account),183632,PROD & PUMPING ADMINISTRATION,50000
1095,530,SEWER UTILITY FUND,BU740049,69,18,Public Works & Utilities,1,Personnel services,110,Regular salaries,1180,Reimb Water/Sewer by Sewer/SWU,184002,SEWER ADMINISTRATION,2155056
1093,540,WATER UTILITY FUND,BU740049,67,18,Public Works & Utilities,4,Capital outlay,460,"Operating equipment => $5,000",4609,"Water & sewage treatment equip => $5,000",183632,PROD & PUMPING ADMINISTRATION,185000
1096,530,SEWER UTILITY FUND,BU740049,70,18,Public Works & Utilities,1,Personnel services,110,Regular salaries,1199,Other,184002,SEWER ADMINISTRATION,101290
1097,530,SEWER UTILITY FUND,BU740049,71,18,Public Works & Utilities,1,Personnel services,140,Employee benefits,1499,Employee benefits in aggregate,184002,SEWER ADMINISTRATION,32782
1098,530,SEWER UTILITY FUND,BU740049,72,18,Public Works & Utilities,2,Contractual services,240,Insurance,2400,Building and contents insurance,184002,SEWER ADMINISTRATION,158189
1099,530,SEWER UTILITY FUND,BU740049,73,18,Public Works & Utilities,2,Contractual services,240,Insurance,2401,Vehicle liability,184002,SEWER ADMINISTRATION,24710
1100,530,SEWER UTILITY FUND,BU740049,74,18,Public Works & Utilities,2,Contractual services,250,Professional services,2503,Studies/Consultants,184002,SEWER ADMINISTRATION,100000
1101,530,SEWER UTILITY FUND,BU740049,75,18,Public Works & Utilities,2,Contractual services,250,Professional services,2505,Contractors,184002,SEWER ADMINISTRATION,25000
1102,530,SEWER UTILITY FUND,BU740049,76,18,Public Works & Utilities,2,Contractual services,250,Professional services,2506,Legal services,184002,SEWER ADMINISTRATION,27500
1103,530,SEWER UTILITY FUND,BU740049,77,18,Public Works & Utilities,2,Contractual services,250,Professional services,2507,Audits,184002,SEWER ADMINISTRATION,13500
1104,530,SEWER UTILITY FUND,BU740049,78,18,Public Works & Utilities,2,Contractual services,260,Data processing,2600,Data center charges,184002,SEWER ADMINISTRATION,341205
1105,530,SEWER UTILITY FUND,BU740049,79,18,Public Works & Utilities,2,Contractual services,280,Buildings and grounds charges,2801,Lease/Rent-Buildings or grounds,184002,SEWER ADMINISTRATION,48950
1106,530,SEWER UTILITY FUND,BU740049,80,18,Public Works & Utilities,2,Contractual services,290,Other contractuals,2900,City administrative charges,184002,SEWER ADMINISTRATION,305416
1107,540,WATER UTILITY FUND,BU740049,81,18,Public Works & Utilities,3,Materials and supplies,380,Non-capitalizable equipment < $5000 each,3800,"Non-capital shop equipment < $5,000 each",183012,SYSTEM PLANNING,2700
1108,540,WATER UTILITY FUND,BU740049,82,18,Public Works & Utilities,3,Materials and supplies,380,Non-capitalizable equipment < $5000 each,3804,"Data processing equipment  < $5,000 each",183012,SYSTEM PLANNING,160
1109,540,WATER UTILITY FUND,BU740049,83,18,Public Works & Utilities,2,Contractual services,250,Professional services,2503,Studies/Consultants,183020,"EXPENSED WATER CIP PROJECTS < 25,000",60000
1110,540,WATER UTILITY FUND,BU740049,84,18,Public Works & Utilities,2,Contractual services,250,Professional services,2505,Contractors,183020,"EXPENSED WATER CIP PROJECTS < 25,000",25000
1111,540,WATER UTILITY FUND,BU740049,85,18,Public Works & Utilities,2,Contractual services,290,Other contractuals,2902,Advertising,183020,"EXPENSED WATER CIP PROJECTS < 25,000",300
1112,540,WATER UTILITY FUND,BU740049,86,18,Public Works & Utilities,3,Materials and supplies,340,Equipment parts,3418,Water Distrib System parts,183020,"EXPENSED WATER CIP PROJECTS < 25,000",5000
1136,540,WATER UTILITY FUND,BU740050,10,18,Public Works & Utilities,2,Contractual services,230,Transportation and training,2303,In town registration fees,183022,UTILITY OPERATIONS,750
1137,540,WATER UTILITY FUND,BU740050,11,18,Public Works & Utilities,2,Contractual services,230,Transportation and training,2308,Transportation - out of town,183022,UTILITY OPERATIONS,1000
1138,540,WATER UTILITY FUND,BU740050,12,18,Public Works & Utilities,2,Contractual services,250,Professional services,2519,Background checks,183022,UTILITY OPERATIONS,150
1113,540,WATER UTILITY FUND,BU740049,87,18,Public Works & Utilities,5,Other expenditures,530,Other non-operating expenditures,5308,Engineering overhead,183020,"EXPENSED WATER CIP PROJECTS < 25,000",22012
1114,540,WATER UTILITY FUND,BU740049,88,18,Public Works & Utilities,1,Personnel services,110,Regular salaries,1100,Bi-weekly wages,183022,UTILITY OPERATIONS,832814
1115,540,WATER UTILITY FUND,BU740049,89,18,Public Works & Utilities,1,Personnel services,110,Regular salaries,1101,Longevity,183022,UTILITY OPERATIONS,14760
1116,540,WATER UTILITY FUND,BU740049,90,18,Public Works & Utilities,1,Personnel services,110,Regular salaries,1180,Reimb Water/Sewer by Sewer/SWU,183022,UTILITY OPERATIONS,-416407
1117,540,WATER UTILITY FUND,BU740049,91,18,Public Works & Utilities,1,Personnel services,110,Regular salaries,1190,Accrual,183022,UTILITY OPERATIONS,5124
1118,540,WATER UTILITY FUND,BU740049,92,18,Public Works & Utilities,1,Personnel services,110,Regular salaries,1199,Other,183022,UTILITY OPERATIONS,40008
1119,540,WATER UTILITY FUND,BU740049,93,18,Public Works & Utilities,1,Personnel services,140,Employee benefits,1400,FICA,183022,UTILITY OPERATIONS,64839
1120,540,WATER UTILITY FUND,BU740049,94,18,Public Works & Utilities,1,Personnel services,140,Employee benefits,1401,Employee pension,183022,UTILITY OPERATIONS,104252
1121,540,WATER UTILITY FUND,BU740049,95,18,Public Works & Utilities,1,Personnel services,140,Employee benefits,1403,Workers compensation,183022,UTILITY OPERATIONS,26275
1122,540,WATER UTILITY FUND,BU740049,96,18,Public Works & Utilities,1,Personnel services,140,Employee benefits,1404,Unemployment compensation,183022,UTILITY OPERATIONS,1695
1123,540,WATER UTILITY FUND,BU740049,97,18,Public Works & Utilities,1,Personnel services,140,Employee benefits,1405,Group health insurance,183022,UTILITY OPERATIONS,184538
1124,540,WATER UTILITY FUND,BU740049,98,18,Public Works & Utilities,1,Personnel services,140,Employee benefits,1406,Group life insurance,183022,UTILITY OPERATIONS,3331
1125,540,WATER UTILITY FUND,BU740049,99,18,Public Works & Utilities,1,Personnel services,140,Employee benefits,1499,Employee benefits in aggregate,183022,UTILITY OPERATIONS,10529
1126,540,WATER UTILITY FUND,BU740049,100,18,Public Works & Utilities,2,Contractual services,220,Communications,2200,PBX - line charges,183022,UTILITY OPERATIONS,8364
1127,540,WATER UTILITY FUND,BU740050,1,18,Public Works & Utilities,2,Contractual services,220,Communications,2201,PBX - instrument charges,183022,UTILITY OPERATIONS,5760
1128,540,WATER UTILITY FUND,BU740050,2,18,Public Works & Utilities,2,Contractual services,220,Communications,2203,Long distance service,183022,UTILITY OPERATIONS,450
1129,540,WATER UTILITY FUND,BU740050,3,18,Public Works & Utilities,2,Contractual services,220,Communications,2207,Postage - regular,183022,UTILITY OPERATIONS,1000000
1130,540,WATER UTILITY FUND,BU740050,4,18,Public Works & Utilities,2,Contractual services,220,Communications,2214,Air cards - mobile,183022,UTILITY OPERATIONS,420
1131,540,WATER UTILITY FUND,BU740050,5,18,Public Works & Utilities,2,Contractual services,220,Communications,2215,Plexar,183022,UTILITY OPERATIONS,744
1132,540,WATER UTILITY FUND,BU740050,6,18,Public Works & Utilities,2,Contractual services,220,Communications,2216,Voice mail,183022,UTILITY OPERATIONS,336
1133,540,WATER UTILITY FUND,BU740050,7,18,Public Works & Utilities,2,Contractual services,220,Communications,2218,Automatic Call Distribution,183022,UTILITY OPERATIONS,1071
1134,540,WATER UTILITY FUND,BU740050,8,18,Public Works & Utilities,2,Contractual services,230,Transportation and training,2301,Meals and lodging allowance,183022,UTILITY OPERATIONS,3500
1135,540,WATER UTILITY FUND,BU740050,9,18,Public Works & Utilities,2,Contractual services,230,Transportation and training,2302,Out of town registration fees,183022,UTILITY OPERATIONS,2500
1139,540,WATER UTILITY FUND,BU740050,13,18,Public Works & Utilities,2,Contractual services,250,Professional services,2543,Bank charges,183022,UTILITY OPERATIONS,25000
1140,540,WATER UTILITY FUND,BU740050,14,18,Public Works & Utilities,2,Contractual services,250,Professional services,2599,Other professional services,183022,UTILITY OPERATIONS,27000
1141,540,WATER UTILITY FUND,BU740050,15,18,Public Works & Utilities,2,Contractual services,260,Data processing,2600,Data center charges,183022,UTILITY OPERATIONS,958988
1142,540,WATER UTILITY FUND,BU740050,16,18,Public Works & Utilities,2,Contractual services,260,Data processing,2699,Other data processing charges,183022,UTILITY OPERATIONS,6000
1143,540,WATER UTILITY FUND,BU740050,17,18,Public Works & Utilities,2,Contractual services,270,Equipment charges,2701,Motor pool-unscheduled charges,183022,UTILITY OPERATIONS,10
1144,540,WATER UTILITY FUND,BU740050,18,18,Public Works & Utilities,2,Contractual services,290,Other contractuals,2902,Advertising,183022,UTILITY OPERATIONS,200
1145,540,WATER UTILITY FUND,BU740050,19,18,Public Works & Utilities,2,Contractual services,290,Other contractuals,2903,Directories,183022,UTILITY OPERATIONS,700
1146,540,WATER UTILITY FUND,BU740050,20,18,Public Works & Utilities,2,Contractual services,290,Other contractuals,2906,Membership dues,183022,UTILITY OPERATIONS,400
1147,540,WATER UTILITY FUND,BU740050,21,18,Public Works & Utilities,2,Contractual services,290,Other contractuals,2917,Printing and copying,183022,UTILITY OPERATIONS,15200
1148,540,WATER UTILITY FUND,BU740050,22,18,Public Works & Utilities,2,Contractual services,290,Other contractuals,2980,Reimb Water/Sewer by Sewer/SWU,183022,UTILITY OPERATIONS,-762163
1149,540,WATER UTILITY FUND,BU740050,23,18,Public Works & Utilities,2,Contractual services,290,Other contractuals,2999,Other contractuals,183022,UTILITY OPERATIONS,225000
1150,540,WATER UTILITY FUND,BU740050,24,18,Public Works & Utilities,3,Materials and supplies,310,Office supplies,3101,Computer/printer supplies,183022,UTILITY OPERATIONS,750
1151,540,WATER UTILITY FUND,BU740050,25,18,Public Works & Utilities,3,Materials and supplies,310,Office supplies,3103,Office supplies,183022,UTILITY OPERATIONS,3500
1152,540,WATER UTILITY FUND,BU740050,26,18,Public Works & Utilities,3,Materials and supplies,310,Office supplies,3199,Other office supplies,183022,UTILITY OPERATIONS,850
1153,540,WATER UTILITY FUND,BU740050,27,18,Public Works & Utilities,3,Materials and supplies,380,Non-capitalizable equipment < $5000 each,3804,"Data processing equipment  < $5,000 each",183022,UTILITY OPERATIONS,2500
1154,540,WATER UTILITY FUND,BU740050,28,18,Public Works & Utilities,3,Materials and supplies,390,Other commodities,3904,Petty cash expenditures,183022,UTILITY OPERATIONS,125
1155,540,WATER UTILITY FUND,BU740050,29,18,Public Works & Utilities,3,Materials and supplies,390,Other commodities,3980,Reimb Water/Sewer by Sewer/SWU,183022,UTILITY OPERATIONS,-3090
1156,530,SEWER UTILITY FUND,BU740050,30,18,Public Works & Utilities,3,Materials and supplies,310,Office supplies,3103,Office supplies,184754,SEWAGE TREATMENT ADMINISTRATION,10200
1157,530,SEWER UTILITY FUND,BU740050,31,18,Public Works & Utilities,3,Materials and supplies,320,Clothing and towels,3200,Clothing and towels,184754,SEWAGE TREATMENT ADMINISTRATION,8400
1158,530,SEWER UTILITY FUND,BU740050,32,18,Public Works & Utilities,3,Materials and supplies,330,Chemicals,3301,Industrial chemicals,184754,SEWAGE TREATMENT ADMINISTRATION,1150000
1159,530,SEWER UTILITY FUND,BU740050,33,18,Public Works & Utilities,3,Materials and supplies,330,Chemicals,3399,Other chemicals,184754,SEWAGE TREATMENT ADMINISTRATION,1000
1160,530,SEWER UTILITY FUND,BU740050,34,18,Public Works & Utilities,3,Materials and supplies,340,Equipment parts,3400,Equipment parts and supplies,184754,SEWAGE TREATMENT ADMINISTRATION,925000
1161,530,SEWER UTILITY FUND,BU740050,35,18,Public Works & Utilities,3,Materials and supplies,340,Equipment parts,3402,Automotive,184754,SEWAGE TREATMENT ADMINISTRATION,3000
1162,530,SEWER UTILITY FUND,BU740050,36,18,Public Works & Utilities,3,Materials and supplies,340,Equipment parts,3403,Electrical,184754,SEWAGE TREATMENT ADMINISTRATION,71000
1163,530,SEWER UTILITY FUND,BU740050,37,18,Public Works & Utilities,3,Materials and supplies,340,Equipment parts,3405,Fuel,184754,SEWAGE TREATMENT ADMINISTRATION,115501
